Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
41,92,2011,4,195000.0,1800.0,2,0,7750.0,17727.272727272728,2,0.6,483445.0
33,62,2014,11,135000.0,1500.0,0,1,8550.0,16875.0,2,0.6,533349.0
33,71,2012,11,110000.0,1500.0,0,1,6550.0,11000.0,2,0.6,408589.0
28,23,2006,11,200000.0,1600.0,3,1,4100.0,12500.0,2,0.6,255758.0
23,124,2000,5,300000.0,2200.0,0,1,3490.0,13636.363636363636,2,0.9,217706.2
43,88,2010,11,290000.0,1390.0,4,1,5600.0,24166.666666666668,0,0.6,349328.0
43,116,2010,9,220000.0,2400.0,0,0,17000.0,18333.33333333333,2,0.9,1060460.0
23,108,1991,10,240000.0,2300.0,4,1,2850.0,7741.935483870968,1,0.9,177783.0
2,9,2004,10,325000.0,300.0,0,1,3400.0,18055.555555555555,2,0.6,212092.0
23,48,2010,10,210000.0,2200.0,0,0,11400.0,17500.0,2,0.9,711132.0
23,101,2006,2,300000.0,3200.0,0,0,11800.0,18750.0,2,1.2,736084.0
2,12,1998,10,285000.0,3500.0,4,1,3990.0,11875.0,2,1.2,248896.2
43,61,2007,11,238371.0,1400.0,4,0,5000.0,15891.4,2,0.6,311900.0
43,101,2010,4,150000.0,1200.0,4,1,5500.0,12500.0,2,0.6,343090.0
44,129,2012,3,180000.0,2400.0,0,0,15900.0,18000.0,2,0.9,991842.0
27,95,2011,3,251000.0,1500.0,0,1,8300.0,22818.18181818182,0,0.6,517754.0
14,79,2005,11,383000.0,1500.0,0,1,3200.0,22529.41176470588,0,0.6,199616.0
1,101,2009,4,248000.0,2000.0,0,0,9299.0,19076.92307692308,0,0.6,580071.62
23,48,2004,11,315000.0,1800.0,3,1,6900.0,17500.0,2,0.6,430422.0
12,101,1992,10,68000.0,2445.0,4,1,2222.0,2266.6666666666665,1,0.9,138608.36000000002
33,80,2011,11,171000.0,1500.0,0,1,5700.0,15545.454545454546,2,0.6,355566.0
32,101,2013,4,113000.0,367.0,1,0,27000.0,12555.555555555557,2,0.6,1684260.0
23,48,2014,10,275500.0,2200.0,0,0,18350.0,34437.5,0,0.9,1144673.0
21,101,2017,10,157000.0,1998.0,2,0,17800.0,31400.0,0,0.6,1110364.0
20,84,2017,3,76000.0,1998.0,4,0,27999.0,15200.0,2,0.6,1746577.62
9,101,2008,4,113486.0,1998.0,3,0,4495.0,8106.142857142857,1,0.6,280398.10000000003
1,0,1993,10,235000.0,2000.0,4,1,2950.0,8103.448275862069,1,0.6,184021.0
30,39,2012,3,253444.0,3000.0,0,0,30222.0,25344.4,0,0.9,1885248.36
20,97,2009,9,250000.0,3500.0,2,0,17990.0,19230.76923076923,0,1.2,1122216.2
43,88,2012,10,179000.0,1400.0,3,0,9800.0,17900.0,2,0.6,611324.0
2,101,2015,3,169777.0,2000.0,0,0,16888.0,24253.85714285714,0,0.6,1053473.44
23,101,2017,3,71333.0,2500.0,0,0,43404.0,14266.6,2,0.9,2707541.52
28,122,1994,10,340000.0,1800.0,4,1,1500.0,12142.857142857143,2,0.6,93570.0
2,12,2007,10,300000.0,3000.0,0,0,11500.0,20000.0,0,0.9,717370.0
43,117,2004,6,280000.0,200.0,0,0,5300.0,15555.555555555557,2,0.6,330614.0
43,88,2010,11,228000.0,1400.0,3,0,5700.0,19000.0,0,0.6,355566.0
41,24,2010,10,185000.0,1400.0,0,1,6500.0,15416.666666666666,2,0.6,405470.0
27,95,2009,4,200415.0,1500.0,0,1,6200.0,15416.53846153846,2,0.6,386756.0
2,6,2016,6,136000.0,2000.0,0,0,13200.0,22666.666666666668,0,0.6,823416.0
2,9,2003,10,250000.0,3000.0,4,0,7490.0,13157.894736842103,2,0.9,467226.2
6,76,2014,10,195000.0,1200.0,3,1,3999.0,24375.0,0,0.6,249457.62000000002
6,47,2015,9,170000.0,1500.0,0,1,8800.0,24285.714285714286,0,0.6,548944.0
43,61,2010,11,191500.0,1400.0,4,1,5700.0,15958.333333333334,2,0.6,355566.0
43,88,1991,10,292000.0,1800.0,4,1,1150.0,9419.354838709678,1,0.6,71737.0
2,6,2004,10,250000.0,2000.0,0,1,4499.0,13888.888888888889,2,0.6,280647.62
27,95,2015,3,158000.0,1500.0,0,1,11750.0,22571.42857142857,0,0.6,732965.0
29,101,2018,3,132000.0,1500.0,0,0,16500.0,33000.0,0,0.6,1029270.0
2,127,2005,9,260500.0,3000.0,4,0,8999.0,15323.529411764706,2,0.9,561357.62
33,80,2005,11,11111.0,1500.0,0,1,3200.0,653.5882352941177,1,0.6,199616.0
27,95,2013,9,180000.0,1500.0,0,1,8999.0,20000.0,0,0.6,561357.62
11,118,2012,6,151658.0,1800.0,0,1,3899.0,15165.8,2,0.6,243219.62000000002
33,107,2015,5,185480.0,1461.0,0,1,7550.0,26497.14285714286,0,0.6,470969.0
2,12,2009,10,215210.0,3000.0,0,0,16500.0,16554.615384615383,2,0.9,1029270.0
43,90,2007,4,305988.0,1400.0,0,1,3250.0,20399.2,0,0.6,202735.0
2,9,2014,10,231250.0,2000.0,0,0,18000.0,28906.25,0,0.6,1122840.0
42,4,2004,6,12000.0,1700.0,4,1,1800.0,666.6666666666666,1,0.6,112284.0
2,9,1998,10,11111.0,2500.0,4,1,3200.0,462.9583333333333,1,0.9,199616.0
27,101,2014,4,87100.0,1200.0,4,1,7950.0,10887.5,2,0.6,495921.0
41,26,2000,10,420000.0,1600.0,3,1,2999.0,19090.90909090909,0,0.6,187077.62
13,35,2002,11,275100.0,2000.0,4,1,5900.0,13755.0,2,0.6,368042.0
2,9,2015,10,180236.0,2000.0,0,0,21500.0,25748.0,0,0.6,1341170.0
13,35,2010,3,183000.0,2200.0,0,1,12999.0,15250.0,2,0.9,810877.62
27,101,2011,4,195000.0,1500.0,0,1,5250.0,17727.272727272728,2,0.6,327495.0
43,88,1993,11,311254.0,2000.0,3,1,29000.0,10732.896551724138,2,0.6,1809020.0
28,23,2010,4,190000.0,1300.0,0,1,6500.0,15833.333333333334,2,0.6,405470.0
36,100,2016,11,116000.0,1598.0,4,0,10300.0,19333.33333333333,0,0.6,642514.0
43,109,2006,6,250000.0,2000.0,0,1,6900.0,15625.0,2,0.6,430422.0
27,95,2015,3,149000.0,1200.0,4,0,12500.0,21285.714285714286,0,0.6,779750.0
36,113,2016,10,170000.0,2000.0,0,0,17490.0,28333.33333333333,0,0.6,1091026.2
41,73,2001,9,250000.0,4700.0,3,0,9990.0,11904.761904761905,2,1.5,623176.2000000001
41,44,2006,11,256000.0,1400.0,0,1,5490.0,16000.0,2,0.6,342466.2
22,101,2002,9,255000.0,2000.0,4,1,3990.0,12750.0,2,0.6,248896.2
3,101,2011,4,190000.0,1400.0,5,0,9150.0,17272.727272727272,2,0.6,570777.0
23,101,2019,3,24000.0,3000.0,4,0,51000.0,8000.0,1,0.9,3181380.0
43,88,2002,11,270000.0,1800.0,4,1,2550.0,13500.0,2,0.6,159069.0
43,116,2010,9,235000.0,3000.0,0,0,20950.0,19583.33333333333,0,0.9,1306861.0
2,9,2000,10,254604.0,2500.0,4,1,4500.0,11572.90909090909,2,0.9,280710.0
33,80,2009,11,165000.0,1500.0,0,1,4999.0,12692.307692307691,2,0.6,311837.62
41,32,2017,3,115000.0,1800.0,2,0,17999.0,23000.0,0,0.6,1122777.62
2,12,1998,10,350000.0,3500.0,4,1,3990.0,14583.333333333334,2,1.2,248896.2
23,48,2012,10,150000.0,2500.0,0,0,14490.0,15000.0,2,0.9,903886.2000000001
1,101,2018,4,31091.0,3000.0,4,0,35500.0,7772.75,1,0.9,2214490.0
33,42,2006,4,280000.0,1461.0,0,1,4299.0,17500.0,2,0.6,268171.62
5,34,2012,4,145000.0,1400.0,0,0,6899.0,14500.0,2,0.6,430359.62
1,17,1997,10,29800.0,2400.0,3,1,2750.0,1192.0,1,0.9,171545.0
11,54,2013,10,178000.0,2000.0,2,0,9290.0,19777.777777777777,0,0.6,579510.2000000001
41,92,2014,10,140000.0,800.0,5,0,11200.0,17500.0,2,0.6,698656.0
43,123,1993,10,300000.0,1800.0,4,1,1700.0,10344.827586206897,2,0.6,106046.0
33,101,2017,3,129000.0,1500.0,0,0,10990.0,25800.0,0,0.6,685556.2000000001
20,36,2012,4,193000.0,1800.0,2,0,10950.0,19300.0,0,0.6,683061.0
44,129,2010,9,202000.0,2400.0,0,0,14750.0,16833.333333333332,2,0.9,920105.0
6,101,2013,6,209000.0,1500.0,0,1,5750.0,23222.222222222223,0,0.6,358685.0
14,101,2010,4,145000.0,1400.0,4,1,4750.0,12083.333333333334,2,0.6,296305.0
