Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,17727.272727272728,medium,0.6,483445.0
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,16875.0,medium,0.6,533349.0
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,11000.0,medium,0.6,408589.0
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,12500.0,medium,0.6,255758.0
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,13636.363636363636,medium,0.9,217706.2
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,24166.666666666668,large,0.6,349328.0
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,18333.33333333333,medium,0.9,1060460.0
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,7741.935483870968,low,0.9,177783.0
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18055.555555555555,medium,0.6,212092.0
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,17500.0,medium,0.9,711132.0
Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,18750.0,medium,1.2,736084.0
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,11875.0,medium,1.2,248896.2
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15891.4,medium,0.6,311900.0
Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12500.0,medium,0.6,343090.0
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,18000.0,medium,0.9,991842.0
